No,Prodi,Angkatan,Kepuasan,IPK,Sikap
356,D,2016,96,3.88,Setuju
357,D,2016,80,2.00,Setuju
358,D,2016,95,3.40,Setuju
359,D,2016,95,3.80,Setuju
360,D,2016,90,3.60,Setuju
361,D,2016,90,3.60,Setuju
362,D,2016,75,2.80,abstain
363,D,2016,80,3.20,Setuju
364,D,2016,80,3.20,Setuju
365,D,2016,80,3.20,Setuju
366,D,2016,100,4.00,Setuju
367,D,2016,99,3.96,Setuju
368,D,2016,100,4.00,Setuju
369,D,2016,100,2.40,Setuju
370,D,2016,90,3.60,Setuju
371,D,2016,95,0.80,Setuju
372,D,2016,100,4.00,Setuju
373,D,2016,98,2.60,Setuju
374,D,2016,100,4.00,Setuju
375,D,2016,99,4.00,Setuju
376,D,2016,95,4.00,Setuju
377,D,2016,80,2.00,Setuju
378,D,2016,90,3.40,Setuju
379,D,2016,99,3.96,Setuju
380,D,2016,85,3.40,Setuju
381,D,2016,98,3.60,Setuju
382,D,2016,90,4.00,Setuju
383,D,2016,20,0.80,Tidak Setuju
384,D,2016,95,3.80,Setuju
385,D,2016,70,2.80,abstain
386,D,2016,95,3.80,Setuju
387,D,2016,100,4.00,Setuju
388,D,2016,90,3.00,Setuju
389,D,2016,80,3.20,Setuju
390,D,2016,85,3.40,Setuju
391,D,2016,90,3.40,Setuju
392,D,2016,95,4.00,Setuju
393,D,2016,100,4.00,Setuju
394,D,2016,89,4.00,Setuju
395,D,2016,90,3.40,Setuju
396,D,2016,60,2.40,Tidak Setuju
397,D,2016,100,4.00,Setuju
398,D,2016,80,3.20,Setuju
399,D,2016,90,2.80,Setuju
400,D,2016,95,3.92,Tidak Setuju
401,D,2017,85,3.60,Setuju
402,D,2017,80,3.00,Setuju
403,D,2017,65,2.40,Setuju
404,D,2017,90,3.20,Tidak Setuju
405,D,2017,85,3.20,Setuju
406,D,2017,85,3.40,Setuju
407,D,2017,90,3.60,Setuju
408,D,2017,50,2.00,Setuju
409,D,2017,70,2.80,Tidak Setuju
410,D,2017,80,3.00,abstain
411,D,2017,50,2.00,Setuju
412,D,2017,70,2.80,Tidak Setuju
413,D,2017,90,4.00,abstain
414,D,2017,99,3.96,Setuju
415,D,2017,99,4.00,Setuju
416,D,2017,75,2.60,Setuju
417,D,2017,65,4.00,abstain
418,D,2017,90,4.00,Tidak Setuju
419,D,2017,90,3.60,Setuju
420,D,2017,90,3.80,Setuju
421,D,2017,100,4.00,Setuju
422,D,2017,50,2.00,Setuju
423,D,2017,40,1.60,Tidak Setuju
424,D,2017,75,3.00,Tidak Setuju
425,D,2017,90,3.80,abstain
426,D,2017,80,3.60,Setuju
427,D,2017,90,3.60,Setuju
428,D,2017,95,4.00,Setuju
429,D,2017,70,2.80,Setuju
430,D,2017,70,3.20,abstain
431,D,2017,90,3.20,abstain
432,D,2017,80,3.40,Setuju
433,D,2017,60,2.40,Setuju
434,D,2017,85,3.80,Tidak Setuju
435,D,2017,86,3.50,Setuju
436,D,2017,100,4.00,Setuju
437,D,2017,90,4.00,Setuju
438,D,2017,90,3.80,Setuju
439,D,2017,95,3.20,Setuju
440,D,2017,95,3.40,Setuju
441,D,2017,90,4.00,Setuju
442,D,2017,90,3.60,Setuju
443,D,2017,90,3.60,Setuju
444,D,2017,80,3.20,Setuju
445,D,2017,85,3.40,Setuju
446,D,2017,85,3.40,Setuju
447,D,2017,85,3.40,Setuju
448,D,2017,90,3.60,Setuju
449,D,2017,85,3.20,Setuju
450,D,2017,80,3.20,Setuju
451,D,2017,90,3.60,Setuju
452,D,2017,85,3.20,Setuju
453,D,2017,90,3.60,Setuju
454,D,2017,90,3.20,Setuju
